trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",25,0,-73.38849064602722,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-189.3442146745804,"{0: 11, 1: 5, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",25,0,-223.62758855108126,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",20,0,-104.75808836805525,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",30,0,-53.25330560767498,"{0: 22, 1: 0, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",20,0,-135.86564257372743,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",35,0,-195.99388900632948,"{0: 19, 1: 4, 2: 9, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",20,9,-7.781355926284224,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",30,0,-102.30780800123304,"{0: 17, 1: 8, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",30,0,-194.15525065776558,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",20,2,-61.14216587389358,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",30,0,-163.7108236937135,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",20,0,-163.9381482613768,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-87.7717146378037,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,0,-48.15293444704791,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",20,0,-133.42009242292127,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",20,7,-15.689731552387848,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.991000000000001}",25,15,-40.159231644612,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.990500000000001}",25,0,-248.94241798279972,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",20,0,-31.485349038596915,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",25,0,-154.54245641411552,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",20,0,-87.56461085677225,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",20,0,-11.567849039946012,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",30,0,-87.648571959683,"{0: 22, 1: 4, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",20,0,-188.04330636128932,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",25,0,-157.90486150329744,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
