trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.75097951457957,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.70889791644282,"{0: 15, 1: 6, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.68947146468376,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.2546632347063,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,6,-101.81117653923913,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,9,-53.75009712869291,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.687801711805875,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.24315606872979,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.70648283199796,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.57000811872139,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-71.19547740592016,"{0: 20, 1: 3, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.16805364073277,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.835677941449536,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.06002313814696,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-54.401340507880874,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,16,-28.988093795584277,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,1,-94.43834703519603,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.36595430051727,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.3210047052018,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.57527967678803,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-38.25172864498484,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-167.44290638307092,"{0: 21, 1: 2, 2: 10, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.86268088762668,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-138.82189092220958,"{0: 26, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.39364977106077,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.18443714528731,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-180.779593896848,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-101.2005384367588,"{0: 21, 1: 8, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.92837904987178,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-55.75998995425764,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
